Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
"La pierre du courage : sort de glamour pas à pas","https://grimoire.endam-digital.com/assets/pins/sort-pierre-du-courage.jpg","Sorts et sortilèges","","Un talisman de confiance en soi. La cornaline était portée par les soldats de l’Antiquité, notamment en Égypte et à Rome, pour le courage. On la gravait souvent pour en faire des sceaux. Ingrédients, rituel, incantation et variantes sur Le Grimoire de Minuit.","https://grimoire.endam-digital.com/sorts/pierre-du-courage/","2026-10-15T10:00:00","sorcellerie, sort de glamour, sort, livre des ombres, witchcraft, wicca"
"Le sort des quatre éléments : sort des éléments pas à pas","https://grimoire.endam-digital.com/assets/pins/sort-sort-des-quatre-elements.jpg","Sorts et sortilèges","","Donner à une intention les quatre forces. La théorie des quatre éléments vient du philosophe grec Empédocle, au Vᵉ siècle av. J.-C. Elle a dominé la science européenne jusqu’au XVIIᵉ siècle et reste la base de la sorcellerie moderne et de l’astrologie. Ingrédients, rituel, incantation et variantes sur Le Grimoire de Minuit.","https://grimoire.endam-digital.com/sorts/sort-des-quatre-elements/","2026-10-15T17:00:00","sorcellerie, sort des éléments, sort, livre des ombres, witchcraft, wicca"
"La corde des vents : sort des éléments pas à pas","https://grimoire.endam-digital.com/assets/pins/sort-corde-des-vents.jpg","Sorts et sortilèges","","Le vieux sort des sorcières marines. Au Moyen Âge et jusqu’au XIXᵉ siècle, les marins achetaient aux sorcières des Shetland, de l’île de Man ou de Laponie des cordes à trois nœuds qui contenaient du vent. L’histoire est racontée notamment par Ranulf Higden au XIVᵉ… Ingrédients, rituel, incantation et variantes sur Le Grimoire de Minuit.","https://grimoire.endam-digital.com/sorts/corde-des-vents/","2026-10-16T05:00:00","sorcellerie, sort des éléments, sort, livre des ombres, witchcraft, wicca"
"L’eau d’orage : sort des éléments pas à pas","https://grimoire.endam-digital.com/assets/pins/sort-eau-d-orage.jpg","Sorts et sortilèges","","Récolter la force de la tempête. L’eau d’orage est un ingrédient apprécié de la sorcellerie moderne. Dans le folklore, l’eau de la première pluie de mai était réputée embellir le teint. Ingrédients, rituel, incantation et variantes sur Le Grimoire de Minuit.","https://grimoire.endam-digital.com/sorts/eau-d-orage/","2026-10-16T10:00:00","sorcellerie, sort des éléments, sort, livre des ombres, witchcraft, wicca"
"La graine de printemps : sort des éléments pas à pas","https://grimoire.endam-digital.com/assets/pins/sort-graine-de-printemps.jpg","Sorts et sortilèges","","Faire pousser un projet. Planter une intention est une métaphore commune à toutes les cultures agricoles. Dans la roue de l’année, Ostara, l’équinoxe de printemps, est la fête des graines. Ingrédients, rituel, incantation et variantes sur Le Grimoire de Minuit.","https://grimoire.endam-digital.com/sorts/graine-de-printemps/","2026-10-16T17:00:00","sorcellerie, sort des éléments, sort, livre des ombres, witchcraft, wicca"
"L’eau de lune : magie lunaire pas à pas","https://grimoire.endam-digital.com/assets/pins/sort-eau-de-lune.jpg","Sorts et sortilèges","","L’ingrédient de base du grimoire. L’eau de lune apparaît dans presque tous les rituels modernes : on s’en sert pour arroser, purifier les outils, la verser dans un bain ou en asperger une pièce. Ingrédients, rituel, incantation et variantes sur Le Grimoire de Minuit.","https://grimoire.endam-digital.com/sorts/eau-de-lune/","2026-10-17T05:00:00","sorcellerie, magie lunaire, sort, livre des ombres, witchcraft, wicca"
"La lettre de la lune noire : magie lunaire pas à pas","https://grimoire.endam-digital.com/assets/pins/sort-lettre-de-la-lune-noire.jpg","Sorts et sortilèges","","Trois intentions pour le cycle. La nouvelle lune n’est pas visible : les Anciens guettaient le premier mince croissant du soir pour commencer le mois. C’est encore le cas des calendriers musulman et juif. Ingrédients, rituel, incantation et variantes sur Le Grimoire de Minuit.","https://grimoire.endam-digital.com/sorts/lettre-de-la-lune-noire/","2026-10-17T10:00:00","sorcellerie, magie lunaire, sort, livre des ombres, witchcraft, wicca"
"Le chargement des pierres : magie lunaire pas à pas","https://grimoire.endam-digital.com/assets/pins/sort-chargement-des-pierres.jpg","Sorts et sortilèges","","Nettoyer et recharger ses cristaux. Recharger ses pierres à la lune est une pratique moderne, popularisée par le mouvement New Age dans les années 1980. Ingrédients, rituel, incantation et variantes sur Le Grimoire de Minuit.","https://grimoire.endam-digital.com/sorts/chargement-des-pierres/","2026-10-17T17:00:00","sorcellerie, magie lunaire, sort, livre des ombres, witchcraft, wicca"
"Faire descendre la lune : magie lunaire pas à pas","https://grimoire.endam-digital.com/assets/pins/sort-faire-descendre-la-lune.jpg","Sorts et sortilèges","","L’invocation de l’esbat. Le nom de ce rite vient des sorcières de Thessalie, qui passaient dans la Grèce antique pour savoir faire descendre la lune du ciel. Gerald Gardner en a fait l’un des rites centraux de la Wicca. La journaliste Margot Adler a… Ingrédients, rituel, incantation et variantes sur Le Grimoire de Minuit.","https://grimoire.endam-digital.com/sorts/faire-descendre-la-lune/","2026-10-18T05:00:00","sorcellerie, magie lunaire, sort, livre des ombres, witchcraft, wicca"
"Le sigil : magie des sceaux pas à pas","https://grimoire.endam-digital.com/assets/pins/sort-sigil.jpg","Sorts et sortilèges","","Transformer une phrase en symbole secret. La méthode a été créée par l’artiste et occultiste londonien Austin Osman Spare au début du XXᵉ siècle, dans son livre « The Book of Pleasure » (1913). Les magiciens du chaos l’ont popularisée dans les années 1970, puis elle est… Ingrédients, rituel, incantation et variantes sur Le Grimoire de Minuit.","https://grimoire.endam-digital.com/sorts/sigil/","2026-10-18T10:00:00","sorcellerie, magie des sceaux, sort, livre des ombres, witchcraft, wicca"
"Le carré SATOR : magie des sceaux pas à pas","https://grimoire.endam-digital.com/assets/pins/sort-carre-sator.jpg","Sorts et sortilèges","","Le plus vieux palindrome magique. Le carré SATOR a été retrouvé gravé sur une colonne à Pompéi, donc avant l’éruption de 79 apr. J.-C. Sa signification reste débattue. On le trouve dans toute l’Europe, de l’Angleterre au Portugal, et il a inspiré le titre du film… Ingrédients, rituel, incantation et variantes sur Le Grimoire de Minuit.","https://grimoire.endam-digital.com/sorts/carre-sator/","2026-10-18T17:00:00","sorcellerie, magie des sceaux, sort, livre des ombres, witchcraft, wicca"
"Le pentacle de protection : magie des sceaux pas à pas","https://grimoire.endam-digital.com/assets/pins/sort-pentacle-de-protection.jpg","Sorts et sortilèges","","Tracer l’étoile qui garde. Le pentagramme était déjà un symbole de protection chez les pythagoriciens. Dans le poème arthurien « Sire Gauvain et le Chevalier vert » (XIVᵉ siècle), il orne le bouclier de Gauvain. La Wicca en a fait son emblème : quatre… Ingrédients, rituel, incantation et variantes sur Le Grimoire de Minuit.","https://grimoire.endam-digital.com/sorts/pentacle-de-protection/","2026-10-19T05:00:00","sorcellerie, magie des sceaux, sort, livre des ombres, witchcraft, wicca"
"Monter son autel : rituel de sorcellerie pas à pas","https://grimoire.endam-digital.com/assets/pins/rituel-monter-son-autel.jpg","Rituels de sorcière","","L’autel est le centre de la pratique : une surface consacrée où l’on pose ses outils, ses bougies et les symboles de la saison. Il peut tenir sur une étagère, une boîte ou un plateau. Le matériel, chaque étape et les paroles à dire sur Le Grimoire de Minuit.","https://grimoire.endam-digital.com/rituels/monter-son-autel/","2026-10-19T10:00:00","rituel sorcellerie, wicca, autel, sorcière, witchcraft"
"Tracer le cercle complet : rituel de sorcellerie pas à pas","https://grimoire.endam-digital.com/assets/pins/rituel-tracer-le-cercle-complet.jpg","Rituels de sorcière","","Le cercle crée un espace protégé, « entre les mondes ». On le trace au début de chaque rituel important et on l’ouvre à la fin. Voici la version complète, avec l’appel des quatre directions. Le matériel, chaque étape et les paroles à dire sur Le Grimoire de Minuit.","https://grimoire.endam-digital.com/rituels/tracer-le-cercle-complet/","2026-10-19T17:00:00","rituel sorcellerie, wicca, autel, sorcière, witchcraft"
"L’auto-dédicace : rituel de sorcellerie pas à pas","https://grimoire.endam-digital.com/assets/pins/rituel-auto-dedicace.jpg","Rituels de sorcière","","Dans la sorcellerie solitaire, on ne passe pas d’initiation : on se dédie soi-même, souvent après « un an et un jour » d’étude. C’est une promesse faite à soi et à la voie que l’on choisit. Le matériel, chaque étape et les paroles à dire sur Le Grimoire de Minuit.","https://grimoire.endam-digital.com/rituels/auto-dedicace/","2026-10-20T05:00:00","rituel sorcellerie, wicca, autel, sorcière, witchcraft"
"Consacrer ses outils : rituel de sorcellerie pas à pas","https://grimoire.endam-digital.com/assets/pins/rituel-consacrer-ses-outils.jpg","Rituels de sorcière","","Un outil neuf ou d’occasion porte l’énergie de ses anciens propriétaires et de la boutique. On le purifie et on le consacre avant de l’utiliser pour la première fois. Le matériel, chaque étape et les paroles à dire sur Le Grimoire de Minuit.","https://grimoire.endam-digital.com/rituels/consacrer-ses-outils/","2026-10-20T10:00:00","rituel sorcellerie, wicca, autel, sorcière, witchcraft"
"L’esbat de pleine lune : rituel de sorcellerie pas à pas","https://grimoire.endam-digital.com/assets/pins/rituel-esbat-de-pleine-lune.jpg","Rituels de sorcière","","L’esbat est la célébration de la pleine lune, treize fois par an. C’est le moment de remercier, de charger ses outils et de faire le bilan du cycle. Le matériel, chaque étape et les paroles à dire sur Le Grimoire de Minuit.","https://grimoire.endam-digital.com/rituels/esbat-de-pleine-lune/","2026-10-20T17:00:00","rituel sorcellerie, wicca, autel, sorcière, witchcraft"
"Gâteaux et vin : rituel de sorcellerie pas à pas","https://grimoire.endam-digital.com/assets/pins/rituel-gateaux-et-vin.jpg","Rituels de sorcière","","Tout rituel wiccan se termine par un petit repas sacré, les « cakes and ale ». On remercie la Terre de ce qu’elle donne, et manger aide à revenir dans le monde ordinaire après un travail magique. Le matériel, chaque étape et les paroles à dire sur Le Grimoire de Minuit.","https://grimoire.endam-digital.com/rituels/gateaux-et-vin/","2026-10-21T05:00:00","rituel sorcellerie, wicca, autel, sorcière, witchcraft"
"Bénir une nouvelle maison : rituel de sorcellerie pas à pas","https://grimoire.endam-digital.com/assets/pins/rituel-benir-une-nouvelle-maison.jpg","Rituels de sorcière","","Avant de t’installer, ou dans les jours qui suivent l’emménagement, on nettoie l’énergie des anciens occupants puis on bénit chaque pièce. Le matériel, chaque étape et les paroles à dire sur Le Grimoire de Minuit.","https://grimoire.endam-digital.com/rituels/benir-une-nouvelle-maison/","2026-10-21T10:00:00","rituel sorcellerie, wicca, autel, sorcière, witchcraft"
"Le rituel d’anniversaire : rituel de sorcellerie pas à pas","https://grimoire.endam-digital.com/assets/pins/rituel-rituel-d-anniversaire.jpg","Rituels de sorcière","","Ton anniversaire est ton nouvel an personnel. Le soleil revient exactement à la place où il était à ta naissance : c’est le moment idéal pour faire le bilan et poser des intentions. Le matériel, chaque étape et les paroles à dire sur Le Grimoire de Minuit.","https://grimoire.endam-digital.com/rituels/rituel-d-anniversaire/","2026-10-21T17:00:00","rituel sorcellerie, wicca, autel, sorcière, witchcraft"
"Clore un cycle : rituel de sorcellerie pas à pas","https://grimoire.endam-digital.com/assets/pins/rituel-clore-un-cycle.jpg","Rituels de sorcière","","Une rupture, un départ, un deuil, un emploi quitté. Les grandes fins méritent un rituel, pour dire au revoir et pour laisser la place à ce qui vient. Le matériel, chaque étape et les paroles à dire sur Le Grimoire de Minuit.","https://grimoire.endam-digital.com/rituels/clore-un-cycle/","2026-10-22T05:00:00","rituel sorcellerie, wicca, autel, sorcière, witchcraft"
"Imbolc : histoire, rituels et correspondances du sabbat","https://grimoire.endam-digital.com/assets/pins/sabbat-imbolc.jpg","La roue de l'année","","1ᵉʳ – 2 février. Imbolc, qui voudrait dire « dans le ventre », célèbre les premiers signes du printemps : les brebis allaitent, les perce-neige sortent. Rituel, recette et correspondances sur Le Grimoire de Minuit.","https://grimoire.endam-digital.com/sabbats/imbolc/","2026-10-22T10:00:00","sabbat, roue de l’année, imbolc, wicca, paganisme"
"Ostara : histoire, rituels et correspondances du sabbat","https://grimoire.endam-digital.com/assets/pins/sabbat-ostara.jpg","La roue de l'année","","Équinoxe de printemps · 19–21 mars. Le jour et la nuit sont égaux, puis la lumière l’emporte. La nature se réveille, les graines germent. Rituel, recette et correspondances sur Le Grimoire de Minuit.","https://grimoire.endam-digital.com/sabbats/ostara/","2026-10-22T17:00:00","sabbat, roue de l’année, ostara, wicca, paganisme"
"Beltane : histoire, rituels et correspondances du sabbat","https://grimoire.endam-digital.com/assets/pins/sabbat-beltane.jpg","La roue de l'année","","30 avril – 1ᵉʳ mai. Beltane signifie « le feu brillant ». On allumait de grands feux entre lesquels on faisait passer le bétail pour le protéger avant la montée aux pâturages. Rituel, recette et correspondances sur Le Grimoire de Minuit.","https://grimoire.endam-digital.com/sabbats/beltane/","2026-10-23T05:00:00","sabbat, roue de l’année, beltane, wicca, paganisme"
"Litha : histoire, rituels et correspondances du sabbat","https://grimoire.endam-digital.com/assets/pins/sabbat-litha.jpg","La roue de l'année","","Solstice d’été · 20–22 juin. Le jour le plus long de l’année, sommet de la puissance du soleil. À partir de là, la lumière commence à décroître. Rituel, recette et correspondances sur Le Grimoire de Minuit.","https://grimoire.endam-digital.com/sabbats/litha/","2026-10-23T10:00:00","sabbat, roue de l’année, litha, wicca, paganisme"
"Lughnasadh : histoire, rituels et correspondances du sabbat","https://grimoire.endam-digital.com/assets/pins/sabbat-lughnasadh.jpg","La roue de l'année","","1ᵉʳ août. Fête du dieu celte Lug, maître de tous les arts, qui l’aurait instituée en l’honneur de sa mère adoptive Tailtiu, morte d’épuisement après avoir défriché l’Irlande. Rituel, recette et correspondances sur Le Grimoire de Minuit.","https://grimoire.endam-digital.com/sabbats/lughnasadh/","2026-10-23T17:00:00","sabbat, roue de l’année, lughnasadh, wicca, paganisme"
"Mabon : histoire, rituels et correspondances du sabbat","https://grimoire.endam-digital.com/assets/pins/sabbat-mabon.jpg","La roue de l'année","","Équinoxe d’automne · 21–23 septembre. Deuxième moisson et second équilibre entre le jour et la nuit. À partir de là, l’obscurité l’emporte. Rituel, recette et correspondances sur Le Grimoire de Minuit.","https://grimoire.endam-digital.com/sabbats/mabon/","2026-10-24T05:00:00","sabbat, roue de l’année, mabon, wicca, paganisme"
